iteration,body_id,name,mass,x,y,z,vx,vy,vz
15,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20819,-3.30709,-5.80954
15,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95158,-3.79229,-7.52194
16,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52502,2.11274,-5.18295
16,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20811,-3.30701,-5.80969
16,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95156,-3.79276,-7.52207
17,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.5251,2.11267,-5.18279
17,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20803,-3.30693,-5.80984
17,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95153,-3.79324,-7.52219
18,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52518,2.11261,-5.18262
18,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20796,-3.30685,-5.80998
18,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95151,-3.79372,-7.52232
19,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52527,2.11255,-5.18246
19,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20788,-3.30677,-5.81013
19,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95148,-3.7942,-7.52245
20,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52535,2.11249,-5.1823
20,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2078,-3.3067,-5.81028
20,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95146,-3.79467,-7.52258
21,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52543,2.11243,-5.18213
21,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20773,-3.30662,-5.81043
21,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95143,-3.79515,-7.52271
22,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52551,2.11236,-5.18197
22,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20765,-3.30654,-5.81058
22,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95141,-3.79563,-7.52283
23,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.5256,2.1123,-5.18181
23,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20757,-3.30646,-5.81073
23,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95138,-3.7961,-7.52296
24,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52568,2.11224,-5.18164
24,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.2075,-3.30638,-5.81087
24,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95136,-3.79658,-7.52309
25,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52576,2.11218,-5.18148
25,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20742,-3.3063,-5.81102
25,2,Body3,2.35684e+28,-5.14425e+10,-2.34758e+10,1.15274e+10,7.95133,-3.79706,-7.52322
26,0,Body1,5.28082e+29,-8.72352e+10,-3.1138e+10,-6.47179e+10,6.52584,2.11211,-5.18132
26,1,Body2,5.61651e+29,-2.51444e+10,-8.56071e+10,5.6969e+10,6.20734,-3.30622,-5.81117
